"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KAZ","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.79069769382477,
"KAZ","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.86666667461395,
"KAZ","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.85714280605316,
"KAZ","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.88664975812046,
"THA","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.83333337306976,
"THA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.58333337306976,
"THA","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.51999998092651,
"THA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.68001716630162,
"ETH","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.04999995231628,
"ETH","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.7380952835083,
"ETH","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.85714292526245,
"ETH","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.59251903072739,
"KOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.53017505202595,
"KOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.97559048236233,
"KOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.97480153274975,
"KOR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.9846755404135,
"VNM","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.64444446563721,
"VNM","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.13333332538605,
"VNM","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.13333332538605,
"VNM","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.31412009515141,
"RUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.48,
"RUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.4729344,
"RUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.53602277240036,
"RUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.54743977985734,
"USA","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.49352460130046,
"USA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.31450795140345,
"USA","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.50350039549741,
"USA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.29775417946933,
"NGA","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.01333332061768,
"NGA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",0.928571403026581,
"NGA","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",0.933333337306976,
"NGA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0.986814264605017,
"EGY","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.5,
"EGY","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.5,
"EGY","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.5,
"EGY","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.64424286040179,
"ISR","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1,
"ISR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"ISR","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1,
"ISR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.0235098617418,
"ARG","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.17111638570111,
"ARG","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.315595314848,
"ARG","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.03471444568869,
"ARG","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.05971444568869,
"JPN","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.58666666666667,
"JPN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.6844207723036,
"JPN","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.68631704632807,
"JPN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.69474863155971,
"IDN","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.52100837230682,
"IDN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.5,
"IDN","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.625,
"IDN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.5912058429441,
"COL","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.04347825050354,
"COL","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.04347825050354,
"COL","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.04347825050354,
"COL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.11735266928533,
"TUR","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",4.09999990463257,
"TUR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.47499990463257,
"TUR","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.5,
"TUR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.81688430481581,
"PER","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.5,
"PER","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.5,
"PER","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.5,
"PER","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.56100448881162,
"IRN","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.46250009536743,
"IRN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.5,
"IRN","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.625,
"IRN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.59061707310925,
"AUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.86202085286214,
"AUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.67785120681741,
"AUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.75,
"AUS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.76,
"CAN","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.955685993,
"CAN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.629344419,
"CAN","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.95678367454296,
"CAN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.8098324639989,
"MYS","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1,
"MYS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"MYS","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1,
"MYS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.02501419276844,
"PAK","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",0.5,
"PAK","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",0.5,
"PAK","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",0.5,
"PAK","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",0.51157903666974,
"IND","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.17669677734375,
"IND","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.04721772670746,
"IND","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.1405109167099,
"IND","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.14963462683813,
"SAU","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1,
"SAU","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"SAU","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1,
"SAU","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.02299668205935,
"MEX","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.83265062239875,
"MEX","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.64860637628589,
"MEX","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.66161605981088,
"MEX","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.67161605981088,
"UKR","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.30069923400879,
"UKR","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.97317814826965,
"UKR","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.2539324760437,
"UKR","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.21655989281425,
"PRY","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.95588231086731,
"PRY","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.84057974815369,
"PRY","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.92957735061646,
"PRY","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.98044919731772,
"WLD","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.92284953654786,
"WLD","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.74148144811673,
"WLD","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.85423409099001,
"WLD","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.82639703132779,
"CHN","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.79620853080569,
"CHN","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.84242424242424,
"CHN","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.81200453001133,
"CHN","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.82831257078143,
"CHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1,
"CHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"CHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1,
"CHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.02233041238009,
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1,
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1,
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1,
"PHL","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.02845987414117,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.61429616231263,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",2.63041310134856,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.50666957980305,
"BRICS","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.59777818444197,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",1.47514915466309,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",1.6721727848053,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",1.72333335876465,
"ZAF","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",1.64637998921817,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",2.5,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",2.5,
"CHE","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",2.5,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.36412027343451,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.39358221524245,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.18411698900106,
"BRA","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.33,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2016",3.43115406114047,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2017",3.2420185626734,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2018",3.44081511012361,
"OECD","CROPYIELD","SOYBEAN","TONNE_HA","A","2019",3.24101795655625,
